Species,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
Paenibacillus_sacheonensis,0,0,24,0,80,62,49,59,27,39,37,15,46,0,10,20,15,0,0,0,0,0,0,0,0,0,0,0,28,17,16,25,20,0,0,0,0,0,72,0
Paenibacillus_sp.,942,794,558,603,911,793,671,624,120,47,1586,726,1532,143,129,1359,1197,364,33,663,417,53,433,52,21,38,257,190,874,416,2528,1638,681,295,231,42,47,57,825,41
Pajaroellobacter,48,0,33,39,51,33,0,6,13,0,54,0,35,46,43,47,71,37,0,68,67,0,46,0,0,0,23,9,44,47,32,74,0,10,0,0,0,14,36,0
Paludibacter,0,0,0,0,0,0,0,0,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paludibaculum,19,22,40,49,41,33,25,30,69,65,19,11,0,17,51,62,55,62,67,58,22,63,15,61,34,31,46,38,22,17,16,51,101,20,30,53,33,57,45,53
Paludibaculum_fermentans,0,0,0,0,0,0,0,0,0,0,14,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
Panacibacter_ginsenosidivorans,9,0,26,16,0,22,28,35,18,24,28,0,19,0,0,22,29,0,0,46,14,0,13,0,0,0,0,18,0,0,14,0,28,27,0,0,0,0,0,0
Paraclostridium,0,0,20,0,0,0,15,0,0,0,0,0,0,0,0,14,13,0,0,17,0,0,0,0,0,0,12,18,0,0,24,22,0,0,0,0,0,0,0,0
Parafilimonas,0,10,0,17,0,16,24,0,9,13,0,0,0,0,0,24,13,9,0,19,0,0,0,0,0,0,0,0,0,0,30,49,0,0,0,0,0,0,20,0
Parasegetibacter,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,14,0,0,0,0,16,0,0
Parasegetibacter_terrae,0,0,0,0,0,0,16,0,14,34,0,0,12,0,0,12,20,0,13,0,0,0,0,14,0,0,0,20,0,0,0,0,55,0,15,14,20,13,0,8
Parcubacteria,0,0,0,0,0,0,0,0,26,24,11,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,12,0,0,0,0,0
Parcubacteria_bacterium,0,0,0,0,0,0,0,0,65,28,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0,0,18,0,9,0,0,0,0,0
Parcubacteria_group,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0
Pedobacter,0,14,0,0,0,0,0,0,0,0,11,0,7,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedomicrobium,226,128,118,133,130,70,177,118,107,108,240,103,193,112,104,496,354,532,229,427,710,436,0,481,547,647,140,110,43,18,93,119,624,48,338,184,133,200,233,208
Pedosphaera,17,0,28,34,0,0,0,0,0,0,0,17,0,15,8,28,0,0,0,58,71,20,0,83,64,65,0,0,0,0,0,0,105,27,16,4,0,0,0,0
Pedosphaera_parvula,41,125,82,172,88,34,18,42,18,27,0,23,0,177,35,93,88,189,28,151,145,10,33,0,0,49,29,0,0,0,0,0,167,33,0,0,10,0,113,29
Pedosphaeraceae,39,0,35,50,151,110,180,162,111,180,16,28,12,141,108,124,138,97,76,66,87,119,50,106,89,119,26,56,149,102,26,74,209,58,41,59,63,94,12,84
Pelolinea_submarina,0,0,0,0,0,0,0,0,79,35,0,0,0,106,69,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptococcaceae_bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,5
Peptostreptococcaceae,0,43,74,58,122,55,135,115,299,209,61,37,31,0,33,94,101,121,146,179,65,23,75,13,22,0,297,329,158,104,528,367,125,0,0,285,111,187,43,115
Peredibacter,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaselicystis,0,0,0,0,24,0,32,36,0,35,34,22,0,0,0,0,48,0,0,31,23,44,0,41,34,0,40,29,0,0,0,0,97,0,21,19,0,0,0,0
Phenylobacterium,0,0,0,22,0,69,56,55,29,12,19,0,31,0,30,0,0,0,0,14,0,0,0,0,0,0,0,47,32,16,34,43,0,19,0,0,0,0,0,0
Phenylobacterium_koreense,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
Phycisphaeraceae,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,10,0,13,8,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0
Phycisphaerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Phyllobacterium,0,0,0,36,0,0,33,31,0,25,0,0,0,0,0,31,0,0,0,0,17,0,0,0,19,0,0,0,0,0,0,0,0,0,0,132,132,64,0,45
Picochlorum_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Pir2_lineage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,54,0,0,0,0,0,0,0,0
Pir3_lineage,38,39,40,46,81,64,0,0,0,12,216,64,86,56,60,105,7,4,0,4,15,0,33,17,0,0,0,0,76,29,72,27,45,66,32,0,0,0,38,15
Pir4_lineage,62,103,78,88,13,53,129,32,132,185,192,14,146,142,132,227,229,91,84,124,213,471,42,457,368,352,114,79,201,89,244,320,592,11,262,238,210,307,111,184
Pirellula,0,11,14,87,79,73,70,24,43,12,41,0,29,41,44,65,59,17,59,33,0,57,27,18,40,80,8,69,10,0,30,35,38,28,13,43,97,64,0,84
Pirellula_sp.,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,14,0,11,0,20,21,39,0,0,0,0,0,0,0,0,26,19,0,0
Pirellulaceae,186,359,298,284,588,296,214,172,345,328,473,150,421,503,484,587,514,270,134,399,450,301,179,295,244,264,168,183,412,458,1170,1039,982,213,514,213,236,300,435,296
Pla1_lineage,0,0,12,6,0,0,0,0,13,0,0,0,0,0,20,0,11,43,0,66,69,0,0,0,0,0,0,5,0,0,7,21,40,0,9,0,0,0,8,0
Pla3_lineage,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Planctomycetaceae,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,37,28,0,0,0,12,0,0,0,0,0,0,0,0
Planctomycetaceae_bacterium,10,30,14,39,0,9,47,15,37,0,59,0,69,114,84,74,109,35,14,32,77,14,21,0,23,11,49,24,54,33,20,38,149,0,16,57,80,15,32,28
Planctomycetales,14,10,0,16,26,21,17,20,57,41,11,7,0,12,0,14,9,0,0,50,65,0,31,0,0,0,34,17,0,12,8,6,59,12,18,0,0,0,0,29
Planctomycetales_bacterium,133,134,138,161,191,181,108,168,25,71,265,90,265,144,108,331,179,133,52,121,87,34,188,49,50,47,60,58,95,50,91,165,207,188,48,0,0,12,186,30
Planctomycetes,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,7,0,0,0,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planctomycetes_bacterium,24,0,0,15,26,37,35,0,31,27,0,20,17,0,20,28,16,20,0,0,0,0,18,0,0,0,0,20,0,10,82,38,24,31,0,0,0,0,0,0
Planctomycetota,0,29,42,29,17,6,55,38,0,0,31,0,46,4,0,45,49,39,26,49,31,28,19,35,14,40,20,60,16,10,27,64,104,33,21,54,49,15,31,56
Planococcaceae,570,20,30,61,366,249,495,383,111,43,117,277,135,24,0,66,27,180,102,282,188,56,334,0,38,21,379,150,390,347,752,711,113,89,0,125,37,176,118,77
Plot4-2H12,0,12,11,9,0,0,0,6,14,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,10,14,0,0,0,0,0,0,0,0
Polyangiaceae,0,26,26,0,0,14,15,0,0,0,14,0,0,0,0,0,13,23,16,0,0,50,0,49,72,41,18,28,0,0,73,29,9,0,0,48,22,91,0,71
Polyangiales,58,0,46,39,61,82,8,47,94,87,8,31,27,0,0,83,0,0,0,46,0,105,37,63,127,107,12,7,16,56,54,35,95,34,91,23,54,99,0,70
Pontibacter,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Povalibacter_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionibacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prosthecobacter,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudobacteriovorax,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudolabrys,0,0,0,42,236,234,12,29,138,105,0,0,0,183,322,0,35,51,0,38,0,0,0,0,0,0,22,0,526,364,538,668,118,0,43,0,0,0,33,0
Pseudomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,70
Pseudomonas,15,102,0,23,0,0,26,0,10,0,41,0,29,9,7,0,24,38,31,18,17,0,14,0,0,0,28,70,0,0,22,0,31,0,358,39,43,6,0,40
Pseudonocardia,101,125,36,64,108,120,216,216,185,261,35,47,47,260,216,84,147,222,226,182,127,152,69,138,173,130,120,144,58,54,410,756,163,69,12,91,100,234,100,202
Pseudonocardiaceae,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Pseudopelobacter,99,24,101,119,206,156,89,73,131,101,245,80,223,0,10,249,167,117,98,211,115,87,119,98,79,46,0,79,22,15,0,0,24,194,15,19,69,50,65,44
Pseudorhodoplanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,20
Pseudoxanthomonas,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Psychrobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,38,0,0,0,42,0
Punica_granatum,78,49,46,38,121,155,175,97,153,197,22,57,54,0,28,67,46,98,85,130,63,154,72,209,89,116,144,175,0,34,78,94,272,62,125,108,166,137,70,123
R7C24,0,0,0,0,0,0,0,0,34,40,0,0,0,0,0,0,0,0,23,0,6,0,0,0,0,0,0,0,0,0,0,0,26,0,0,9,0,14,0,0
RB41,0,0,0,0,0,29,0,19,27,34,0,0,0,0,0,26,0,20,0,37,0,43,0,54,49,65,11,0,0,0,61,35,22,0,0,50,50,37,0,49
RBG-13-54-9,0,0,5,0,36,53,36,45,77,117,34,7,21,0,0,28,31,56,86,45,21,132,18,108,96,162,135,187,29,14,64,61,240,23,46,67,126,100,0,122
RBG-16-58-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,14
Reyranella,464,426,417,435,599,602,334,384,90,81,776,333,592,116,157,896,786,212,58,233,179,0,302,0,13,0,178,260,177,90,825,817,188,275,88,0,33,0,583,0
Reyranella_soli,116,168,168,170,257,314,231,226,86,95,157,93,88,80,95,192,150,203,271,87,64,40,125,71,45,70,141,153,72,84,292,191,127,114,121,201,208,110,197,79
Reyranella_sp.,0,0,0,0,0,0,12,0,9,40,0,0,0,0,0,13,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,0,0,40,27,22,0,14
Rhizobiaceae,26,118,296,295,122,160,457,372,324,273,173,75,197,31,20,524,501,235,456,203,178,438,90,428,340,405,304,360,23,0,93,106,468,61,153,731,868,524,167,534
Rhizobiales,61,12,61,45,211,240,151,182,128,191,205,11,122,0,34,337,84,117,153,181,51,179,194,160,94,116,255,331,175,50,522,456,374,168,107,156,173,157,47,57
Rhizobiales_Incertae_Sedis,0,0,0,0,0,0,0,0,22,20,0,0,0,10,0,0,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,18,0,13,13,0,0,0,0
Rhizobiales_bacterium,0,0,0,0,0,0,0,0,0,0,24,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizocola,0,0,0,0,0,0,22,10,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,22,20,0,0,0,0,29,0,0,48,18,32,0,20
Rhodanobacteraceae,0,0,0,0,0,0,14,11,27,10,0,5,0,32,14,0,0,0,7,8,0,0,0,0,0,0,21,46,0,0,9,18,0,0,7,0,0,0,0,0
Rhodobacteraceae,0,0,0,0,0,0,80,83,136,124,0,7,0,0,0,18,0,47,206,0,0,426,0,298,199,84,100,175,0,0,0,0,204,0,38,220,185,175,0,164
Rhodocyclaceae,0,0,23,0,85,62,0,0,0,0,0,26,0,0,0,0,0,102,213,0,0,65,0,68,0,13,0,41,42,34,23,13,214,0,122,74,87,135,0,151
Rhodoferax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,21,0,0,0,0,0,0,0,0
Rhodomicrobium,274,598,460,616,335,296,149,166,407,266,1040,189,810,1055,1285,1040,714,144,0,119,66,0,160,0,0,0,55,27,1760,1298,1433,1756,861,142,630,0,0,0,783,0
Rhodopila,0,0,0,0,0,0,0,0,20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodopirellula,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,14,0,0,0,0,0,0,0,0,9,0,6,0,18,11,0,13
Rhodoplanes,49,76,0,0,165,84,128,39,27,0,71,0,62,167,246,85,120,25,0,28,0,0,94,0,0,0,21,15,248,163,117,230,162,141,96,0,0,0,46,0
Rhodospirillaceae_bacterium,0,0,10,7,21,17,0,0,0,0,0,7,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0
Rickettsiella,0,0,0,0,0,0,22,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risungbinella,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Rokubacteriales,122,386,237,228,46,0,86,70,45,17,115,51,59,250,38,293,230,263,114,742,1852,636,66,682,1461,1687,123,115,0,0,0,0,459,0,87,272,271,211,641,192
Roseiarcus,0,184,58,0,0,58,0,0,155,119,246,0,125,279,405,104,92,0,0,0,0,0,0,0,0,0,0,0,984,872,248,392,177,0,204,0,0,0,124,0
Roseiflexaceae,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,9,0,0,3,0,0,0,7,12,35,28,30,0,0,0,0,0,0,0,0,0,0,0,0
Roseimicrobium,14,11,12,20,0,19,53,54,40,50,0,8,0,0,0,0,16,31,33,15,15,0,17,0,0,0,34,47,0,0,0,0,0,16,0,39,0,28,0,24
Roseomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Rubritaleaceae,12,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Rubrobacterineae_bacterium,0,20,0,0,38,37,0,26,0,8,12,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,17,0
Rudaea,0,0,0,0,84,112,0,0,0,0,88,29,54,68,50,57,0,8,0,0,0,0,73,0,0,0,0,0,0,0,110,37,0,39,0,0,0,0,0,0
Ruminiclostridium,0,0,0,0,0,0,10,0,0,0,0,0,18,0,33,0,15,0,0,0,0,12,0,0,0,0,29,8,12,0,0,0,37,0,0,0,0,0,18,19
Rummeliibacillus,31,0,0,0,0,0,0,0,0,0,20,17,0,0,0,0,0,0,0,0,0,0,0,0,16,0,22,0,0,0,102,60,0,0,0,0,0,0,0,0
S-70,0,0,0,0,0,0,0,0,12,14,0,0,0,5,0,0,0,0,0,0,0,9,0,6,8,0,0,0,0,0,0,0,21,7,0,0,3,6,0,8
S-BQ2-57_soil_group,18,0,0,0,0,0,0,0,0,0,48,0,0,64,57,0,0,0,0,15,104,0,0,0,0,0,0,0,89,84,0,0,18,13,0,0,0,0,0,0
S0134_terrestrial_group,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S085,0,136,68,63,269,158,60,43,0,39,87,37,76,25,24,0,0,0,0,22,20,14,26,35,76,66,0,0,159,125,175,144,66,28,88,0,0,34,100,22
SBR1031,4,0,10,0,9,0,5,0,188,162,0,0,0,6,33,0,0,15,11,5,8,53,0,75,36,41,16,5,0,24,0,0,105,0,92,3,12,8,7,17
SC-I-84,153,255,348,337,424,426,396,382,310,545,257,112,251,177,173,286,355,372,392,399,153,114,157,207,61,74,392,536,350,211,586,1036,1288,206,545,236,247,167,411,168
SCGC_AAA164-E04,0,27,56,69,0,0,44,0,26,51,0,0,0,0,0,0,0,19,0,71,64,0,0,85,26,32,73,0,0,0,0,0,143,0,0,0,56,0,74,0
SH-PL14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,23,19,11,0,13
SH3-11,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,28,0,0,10,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,20,0,0
SJA-15,0,0,16,17,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
SJA-28,0,5,0,0,0,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,7,0,0,0,0,0,0,0
SM1A02,0,0,0,0,11,0,18,0,0,0,0,0,12,0,8,0,6,0,0,6,4,0,0,16,0,0,5,7,0,0,0,3,39,9,23,0,0,7,0,0
SRB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
SWB02,0,0,0,0,0,0,0,0,0,0,9,5,0,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
Saccharimonadales,0,0,0,0,16,16,0,0,9,29,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandaracinaceae,0,0,0,0,0,0,26,13,26,38,0,0,0,0,0,0,0,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,16,0,0,40,0,0
Sandaracinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Sarcina_maxima,21,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schlesneria,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,13,23,0,0,0,0,8,0,0,0,16,0,0,0,0,0,0,0,10,0,25,0,0
Sedimentibacter,0,0,0,0,0,9,16,0,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,31,0,0,0,0,6,6,0,0,28
Sericytochromatia,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sh765B-TzT-35,0,0,0,0,0,0,0,0,26,14,9,0,0,148,147,8,0,20,20,0,0,0,0,0,0,0,0,0,43,46,0,30,28,0,0,0,0,39,76,60
Sideroxydans,0,0,0,0,0,0,0,14,14,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,0,0,0,0,0,0,0,0,0,8
Sideroxydans_paludicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,104,0,0,0,0,0
Simkaniaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
Singulisphaera,0,0,0,0,51,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singulisphaera_acidiphila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,0,0,0,0,0,0,0,0
Skermanella_aerolata,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,5,0,0,0,0,0,0,0,11,0,0,0,0
Solibacillus,0,0,0,0,0,47,27,0,0,0,0,0,0,0,0,0,0,0,34,0,33,0,0,0,0,0,0,71,55,60,221,113,0,0,0,0,0,0,0,0
Solirubrobacter,70,69,137,138,76,46,453,325,0,110,41,22,0,34,11,101,130,83,68,177,58,145,10,147,165,132,152,229,9,0,32,61,163,48,0,206,104,169,109,102
Solirubrobacteraceae,0,0,0,0,35,54,93,61,0,0,0,15,55,0,0,0,0,0,0,59,30,0,25,0,0,0,30,34,22,0,60,135,41,25,6,0,0,0,0,0
Solirubrobacterales,0,12,38,25,0,0,65,93,31,14,0,24,0,0,0,0,13,0,0,0,6,0,0,0,0,0,47,0,0,0,0,0,30,7,0,31,0,19,19,10
Solitalea_koreensis,0,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,20,0,0,27,0,29,10,19,24,26,0,0,0,0,71,0,33,22,13,16,0,11
Sorangiineae_bacterium,0,0,0,0,0,0,48,0,31,16,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,19,23,0,0,0,0,0,0,0,14,0,7,0,0
Sphaerisporangium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,0,0
Sphingobacteriales,13,0,33,0,0,0,0,0,21,27,0,0,0,3,3,0,12,19,0,11,9,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Sphingomonadaceae,0,0,0,0,0,0,32,58,0,19,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,12,0,0,0,12,0
Sphingomonas,50,0,26,49,73,83,43,46,88,94,14,0,12,22,0,49,42,0,28,49,42,0,19,41,0,0,57,88,17,0,31,47,40,32,0,42,34,23,0,28
Sphingomonas_daechungensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,0,0,0,0,0,0,0,22,24,0,0,0
Sphingomonas_rhizophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingopyxis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Spirochaeta,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spirochaeta_sp.,0,0,7,12,0,0,0,0,76,44,0,0,0,143,225,6,11,5,0,0,10,9,0,11,8,0,0,0,94,84,0,12,51,0,30,0,0,0,0,0
Sporosarcina,177,11,16,24,260,130,455,330,36,131,89,292,51,0,0,61,27,141,37,106,85,74,302,165,150,185,298,129,240,226,188,247,27,82,0,111,76,104,56,110
Stenotrophobacter,0,0,0,0,17,25,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,57,25,0,0,0,0,0,0,17,0
Stenotrophomonas,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,17,0,0,0,11,0,0,0,0,0,0,0,0
Steroidobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,35,75,84,0,0,0,0,0,0,0,0,0,23,31,40,0,0
Steroidobacteraceae,40,6,71,75,26,0,133,63,34,55,12,19,0,0,0,21,18,315,145,91,173,62,25,81,55,68,63,47,13,0,37,26,58,24,16,114,119,218,93,181
Streptomyces,94,274,689,539,220,379,526,469,177,199,146,269,1124,35,41,226,188,130,33,120,127,26,61,78,103,63,309,460,149,86,275,131,161,144,55,321,290,205,904,194
Streptomyces_scabrisporus,0,0,0,0,44,48,34,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,0
Streptomyces_sp.,29,11,22,0,15,35,41,62,110,65,19,14,11,0,0,8,33,62,43,21,28,11,0,0,13,22,103,62,80,34,133,184,16,19,0,95,49,97,0,39
Streptomycetaceae,0,0,0,0,0,0,28,38,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
Streptosporangiaceae,0,18,18,32,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,189,0
Streptosporangium,23,8,22,0,41,31,116,65,53,97,34,29,0,8,0,0,8,19,18,25,0,0,38,0,0,0,32,34,103,38,82,38,0,0,0,45,11,14,28,0
Subgroup_10,0,0,0,12,0,0,15,0,0,16,0,0,7,0,17,0,17,16,23,0,26,121,0,102,70,56,23,0,36,14,0,0,31,0,12,47,20,52,0,113
